id,city,city_code,begetter_code,counts
4644,云霄县,350622,350600,0.0
4645,漳浦县,350623,350600,1.0
4646,诏安县,350624,350600,0.0
4647,长泰县,350625,350600,0.0
4648,东山县,350626,350600,0.0
4649,南靖县,350627,350600,0.0
4650,平和县,350628,350600,0.0
4651,华安县,350629,350600,0.0
4652,龙海市,350681,350600,0.0
4653,南平市,350700,350000,1.0
4654,延平区,350702,350700,0.0
4655,顺昌县,350721,350700,0.0
4656,浦城县,350722,350700,0.0
4657,光泽县,350723,350700,0.0
4658,松溪县,350724,350700,0.0
4659,政和县,350725,350700,0.0
4660,邵武市,350781,350700,0.0
4661,武夷山市,350782,350700,0.0
4662,建瓯市,350783,350700,0.0
4663,建阳市,350784,350700,0.0
4664,龙岩市,350800,350000,0.0
4665,新罗区,350802,350800,0.0
4666,长汀县,350821,350800,0.0
4667,永定县,350822,350800,0.0
4668,上杭县,350823,350800,0.0
4669,武平县,350824,350800,0.0
4670,连城县,350825,350800,0.0
4671,漳平市,350881,350800,0.0
4672,宁德市,350900,350000,0.0
4673,蕉城区,350902,350900,0.0
4674,霞浦县,350921,350900,0.0
4675,古田县,350922,350900,0.0
4676,屏南县,350923,350900,0.0
4677,寿宁县,350924,350900,0.0
4678,周宁县,350925,350900,0.0
4679,柘荣县,350926,350900,0.0
4680,福安市,350981,350900,0.0
4681,福鼎市,350982,350900,0.0
4682,江西省,360000,000000,-1.0
4683,南昌市,360100,360000,0.0
4684,东湖区,360102,360100,0.0
4685,西湖区,360103,360100,0.0
4686,青云谱区,360104,360100,0.0
4687,湾里区,360105,360100,0.0
4688,郊区,360111,360100,0.0
4689,南昌县,360121,360100,0.0
4690,新建县,360122,360100,0.0
4691,安义县,360123,360100,0.0
4692,进贤县,360124,360100,0.0
4693,景德镇市,360200,360000,0.0
4694,昌江区,360202,360200,0.0
4695,珠山区,360203,360200,0.0
4696,浮梁县,360222,360200,0.0
4697,乐平市,360281,360200,0.0
4698,萍乡市,360300,360000,0.0
4699,安源区,360302,360300,0.0
4700,湘东区,360313,360300,0.0
4701,莲花县,360321,360300,0.0
4702,上栗县,360322,360300,0.0
4703,芦溪县,360323,360300,0.0
4704,九江市,360400,360000,0.0
4705,庐山区,360402,360400,0.0
4706,浔阳区,360403,360400,0.0
4707,九江县,360421,360400,0.0
4708,武宁县,360423,360400,0.0
4709,修水县,360424,360400,0.0
4710,永修县,360425,360400,0.0
4711,德安县,360426,360400,0.0
4712,星子县,360427,360400,0.0
4713,都昌县,360428,360400,0.0
4714,湖口县,360429,360400,0.0
4715,彭泽县,360430,360400,0.0
4716,瑞昌市,360481,360400,0.0
4717,新余市,360500,360000,0.0
4718,渝水区,360502,360500,0.0
4719,分宜县,360521,360500,0.0
4720,鹰潭市,360600,360000,1.0
4721,月湖区,360602,360600,0.0
4722,余江县,360622,360600,0.0
4723,贵溪市,360681,360600,0.0
4724,赣州市,360700,360000,0.0
4725,章贡区,360702,360700,0.0
4726,赣县,360721,360700,0.0
4727,信丰县,360722,360700,0.0
4728,大余县,360723,360700,0.0
4729,上犹县,360724,360700,0.0
4730,崇义县,360725,360700,0.0
4731,安远县,360726,360700,0.0
4732,龙南县,360727,360700,0.0
4733,定南县,360728,360700,0.0
4734,全南县,360729,360700,0.0
4735,宁都县,360730,360700,0.0
4736,于都县,360731,360700,0.0
4737,兴国县,360732,360700,0.0
4738,会昌县,360733,360700,0.0
4739,寻乌县,360734,360700,0.0
4740,石城县,360735,360700,0.0
4741,瑞金市,360781,360700,0.0
4742,南康市,360782,360700,0.0
4743,吉安市,360800,360000,0.0
4744,吉州区,360802,360800,0.0
4745,青原区,360803,360800,0.0
4746,吉安县,360821,360800,0.0
4747,吉水县,360822,360800,0.0
4748,峡江县,360823,360800,0.0
4749,新干县,360824,360800,0.0
